repo,number,title,labels,url
ultralytics/yolov5,10910,Custom Models using  PyTorch Hub,['question'],https://github.com/ultralytics/yolov5/issues/10910
ultralytics/yolov5,10909,Training my custom dataset with unfrozen the last e.g. 3layers ,['question'],https://github.com/ultralytics/yolov5/issues/10909
ultralytics/yolov5,10905,Cannot reproduce the 64.1 mAP on COCO dataset by yolov5m,['question'],https://github.com/ultralytics/yolov5/issues/10905
ultralytics/yolov5,10904,urllib.error.URLError: <urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。>,['question'],https://github.com/ultralytics/yolov5/issues/10904
ultralytics/yolov5,10900,detect -> COM,['question'],https://github.com/ultralytics/yolov5/issues/10900
ultralytics/yolov5,10897,tf.CombinedNonMaxSuppression with float32 valid_detections,['enhancement'],https://github.com/ultralytics/yolov5/issues/10897
ultralytics/yolov5,10896,Interpreting rotate in the hyperparameters file?,['question'],https://github.com/ultralytics/yolov5/issues/10896
ultralytics/yolov5,10895,Trainig data distribution colormaps ,['question'],https://github.com/ultralytics/yolov5/issues/10895
ultralytics/yolov5,10892,Multiplication between two tensors coming from differents levels,['question'],https://github.com/ultralytics/yolov5/issues/10892
ultralytics/yolov5,10891,Results saved to runs\detect\exp6 ,[],https://github.com/ultralytics/yolov5/issues/10891
ultralytics/yolov5,10889,cache dataset every time,['question'],https://github.com/ultralytics/yolov5/issues/10889
ultralytics/yolov5,10887,Understanding Focal Loss Gamma,['question'],https://github.com/ultralytics/yolov5/issues/10887
ultralytics/yolov5,10884,Update VOC.yaml,[],https://github.com/ultralytics/yolov5/issues/10884
ultralytics/yolov5,10883,Correct way to set up group convolutions,['question'],https://github.com/ultralytics/yolov5/issues/10883
ultralytics/yolov5,10882,YOLOv5 Segmentation - Calculate area of detected objects ,['question'],https://github.com/ultralytics/yolov5/issues/10882
ultralytics/yolov5,10881,Covert the results of segment/predict.py to COCO Format ,['question'],https://github.com/ultralytics/yolov5/issues/10881
ultralytics/yolov5,10877,Confusion Matrix  logged in cometml has different values compared to confusion matrix logged in run/train/exp?,['question'],https://github.com/ultralytics/yolov5/issues/10877
ultralytics/yolov5,10876,onnxruntime-gpu TensorrtExecutionProvider,['question'],https://github.com/ultralytics/yolov5/issues/10876
ultralytics/yolov5,10873,"Ultralytics hub ios deploy creates mlmodel just with input 320x192 portrait, whatever I trained.",['question'],https://github.com/ultralytics/yolov5/issues/10873
ultralytics/yolov5,10871,Visualization using TorchView,['enhancement'],https://github.com/ultralytics/yolov5/issues/10871
ultralytics/yolov5,10869,how to predict on same data from two models of different category,['question'],https://github.com/ultralytics/yolov5/issues/10869
ultralytics/yolov5,10868,Logging training set metrics,['question'],https://github.com/ultralytics/yolov5/issues/10868
ultralytics/yolov5,10864,How do deal with large but thin objects?,['question'],https://github.com/ultralytics/yolov5/issues/10864
ultralytics/yolov5,10863,Extracting Yolo cords and classes from a prediction model,['bug'],https://github.com/ultralytics/yolov5/issues/10863
ultralytics/yolov5,10861,Can't change the activation function in classify mode,['bug'],https://github.com/ultralytics/yolov5/issues/10861
ultralytics/yolov5,10857,can i use qualcommGPU for yolov5 instead of nvidia cuda?? ,['question'],https://github.com/ultralytics/yolov5/issues/10857
ultralytics/yolov5,10855,Yolo 5 with OpenCV C++ on WIndows OS,['question'],https://github.com/ultralytics/yolov5/issues/10855
ultralytics/yolov5,10853,Training with 1 source image possible?,['question'],https://github.com/ultralytics/yolov5/issues/10853
ultralytics/yolov5,10852,Modify Model,['question'],https://github.com/ultralytics/yolov5/issues/10852
ultralytics/yolov5,10850,About adding a new class to yolo_v5 model,['question'],https://github.com/ultralytics/yolov5/issues/10850
ultralytics/yolov5,10846,Tolo v5 has issue while trying sotabench benchmark with COCO dataset (val2017),['bug'],https://github.com/ultralytics/yolov5/issues/10846
ultralytics/yolov5,10845,"FileNotFoundError: [Errno 2] No such file or directory: '.\\hubconf.py', while loading custom model, how can I load the model without Yolov5 folder?",[],https://github.com/ultralytics/yolov5/issues/10845
ultralytics/yolov5,10841,albumentation RandomRotate90 + segmentation = incorrectly applied augmentation ?,['bug'],https://github.com/ultralytics/yolov5/issues/10841
ultralytics/yolov5,10840,Add hide_conf argument to model common.py,[],https://github.com/ultralytics/yolov5/issues/10840
ultralytics/yolov5,10837,Can I so resuming training twice ,['question'],https://github.com/ultralytics/yolov5/issues/10837
ultralytics/yolov5,10834,urllib3.connectionpool warning during training,['bug'],https://github.com/ultralytics/yolov5/issues/10834
ultralytics/yolov5,10833,YOLO auto pip-installing requirements,['question'],https://github.com/ultralytics/yolov5/issues/10833
ultralytics/yolov5,10832,"How to add 80, 81 class to COCO dataset",['question'],https://github.com/ultralytics/yolov5/issues/10832
ultralytics/yolov5,10831,ONNX export failure  0.1s unsupported ONNX opset version :17,['bug'],https://github.com/ultralytics/yolov5/issues/10831
ultralytics/yolov5,10825,Output of Yolov5 Custom Trained Model Tensor Only,[],https://github.com/ultralytics/yolov5/issues/10825
ultralytics/yolov5,10824,added yolov5 classification gradio live app ,[],https://github.com/ultralytics/yolov5/issues/10824
ultralytics/yolov5,10823,Ultralytics HUB Android App doesn't export the Model,['bug'],https://github.com/ultralytics/yolov5/issues/10823
ultralytics/yolov5,10822,Is the validation set used directly during training ? ,['question'],https://github.com/ultralytics/yolov5/issues/10822
ultralytics/yolov5,10821,Build_targets clarification,['question'],https://github.com/ultralytics/yolov5/issues/10821
ultralytics/yolov5,10818,How to generate a Confusion matrix,['question'],https://github.com/ultralytics/yolov5/issues/10818
ultralytics/yolov5,10817,Model metrics omit false positives in empty/background images,['bug'],https://github.com/ultralytics/yolov5/issues/10817
ultralytics/yolov5,10815,What are detection values when the AI is not detecting anything anymore,['question'],https://github.com/ultralytics/yolov5/issues/10815
ultralytics/yolov5,10812,Using multi GPU to detect video frames,['question'],https://github.com/ultralytics/yolov5/issues/10812
ultralytics/yolov5,10811,Unable to run epochs ,['question'],https://github.com/ultralytics/yolov5/issues/10811
ultralytics/yolov5,10807,yolov5 image /label corrupt pair,['question'],https://github.com/ultralytics/yolov5/issues/10807
ultralytics/yolov5,10805,add the dropout_p parameter,[],https://github.com/ultralytics/yolov5/issues/10805
ultralytics/yolov5,10804,Why dropout layer with p=0.0?,[],https://github.com/ultralytics/yolov5/issues/10804
ultralytics/yolov5,10803,YOLOv5 segment multi GPU training fails if batch size == gpu number (or proc number),['bug'],https://github.com/ultralytics/yolov5/issues/10803
ultralytics/yolov5,10798,Validation Objectness loss increasing,['question'],https://github.com/ultralytics/yolov5/issues/10798
ultralytics/yolov5,10794,Convert YOLO segmentation to original unnormalized points,['question'],https://github.com/ultralytics/yolov5/issues/10794
ultralytics/yolov5,10793,manual broadcast for anchor grid to prevent errors in tflite conversion,[],https://github.com/ultralytics/yolov5/issues/10793
ultralytics/yolov5,10792,Tflite export on Yolov5 Clsasifiaction,['question'],https://github.com/ultralytics/yolov5/issues/10792
ultralytics/yolov5,10791,WARNING  Environment does not support cv2.imshow() or PIL Image.show(),['bug'],https://github.com/ultralytics/yolov5/issues/10791
ultralytics/yolov5,10790,android yolov5 segmentation..,['question'],https://github.com/ultralytics/yolov5/issues/10790
ultralytics/yolov5,10788,NO DETECTIONS,['question'],https://github.com/ultralytics/yolov5/issues/10788
ultralytics/yolov5,10787,Fix fp16 (`--half`) support for `TritonRemoteModel` model type,[],https://github.com/ultralytics/yolov5/issues/10787
ultralytics/yolov5,10786,detect.py `--half` flag not working for `TritonRemoteModel`,['bug'],https://github.com/ultralytics/yolov5/issues/10786
ultralytics/yolov5,10784,Is there a need to provide negative samples for object detection,['question'],https://github.com/ultralytics/yolov5/issues/10784
ultralytics/yolov5,10780,YOLOv5 on testing to new dataset labelling wrong and prediction correct.,['question'],https://github.com/ultralytics/yolov5/issues/10780
